INFO 2024-10-12 12:43:04,356 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-12 12:43:04,356 autoreload Waiting for apps ready_event.
DEBUG 2024-10-12 12:43:04,416 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-10-12 12:43:04,424 autoreload Watching dir C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-10-12 12:43:04,424 autoreload Watching dir C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\admin_soft_pro\templates with glob **/*.
DEBUG 2024-10-12 12:43:04,425 autoreload Watching dir C:\Users\zawar\PycharmProjects\softui\home\templates with glob **/*.
DEBUG 2024-10-12 12:43:04,427 autoreload Watching dir C:\Users\zawar\PycharmProjects\softui\profiles\templates with glob **/*.
DEBUG 2024-10-12 12:43:04,427 autoreload Watching dir C:\Users\zawar\PycharmProjects\softui\locale with glob **/*.mo.
DEBUG 2024-10-12 12:43:04,427 autoreload Watching dir C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\admin_soft_pro\locale with glob **/*.mo.
DEBUG 2024-10-12 12:43:04,428 autoreload Watching dir C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-10-12 12:43:04,428 autoreload Watching dir C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\rest_framework\authtoken\locale with glob **/*.mo.
DEBUG 2024-10-12 12:43:04,428 autoreload Watching dir C:\Users\zawar\PycharmProjects\softui\home\locale with glob **/*.mo.
DEBUG 2024-10-12 12:43:04,428 autoreload Watching dir C:\Users\zawar\PycharmProjects\softui\profiles\locale with glob **/*.mo.
DEBUG 2024-10-12 12:43:04,428 autoreload Watching dir C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-10-12 12:43:04,467 utils (0.000) 
                SELECT VERSION(),
                       @@sql_mode,
                       @@default_storage_engine,
                       @@sql_auto_is_null,
                       @@lower_case_table_names,
                       CONVERT_TZ('2001-01-01 01:00:00', 'UTC', 'UTC') IS NOT NULL
